Nombre,Categoría,Declaración de seguridad,Clasificación 1,Clasificación 2,Clasificación 3,NombreNormalizado
etrasimod arginina,D,"La administración de etrasimod durante el embarazo en ratas y conejos produjo efectos adversos sobre el desarrollo, incluyendo embrioletalidad, malformaciones fetales y un mayor número de mortinatos.",Alergia y sistema inmunológico,Inmunomodificadores,,etrasimod arginina
etravirina,B1,,Antimicrobianos,agentes antivirales,,etravirina
etretinato,incógnita,"Este medicamento es teratogénico en dosis dentro del rango terapéutico. Se almacena en el organismo durante varios meses después de suspenderlo. Debido a su larga vida media y a su almacenamiento en la grasa, se recomienda a las pacientes no concebir hasta dos años después de suspender el tratamiento debido al riesgo de malformaciones congénitas. Si se produce un embarazo durante el tratamiento con este medicamento, existe un alto riesgo de malformaciones congénitas.",Medicamentos utilizados en Dermatología,Sistémico,,etretinato
everolimus,do,,Alergia y sistema inmunológico,Inmunomodificadores,,everolimus
evolocumab (rch),B1,,Sistema cardiovascular,Agentes hipolipidémicos,,evolocumab (rch)
exemestano,do,El exemestano altera el metabolismo dependiente de estrógenos y puede provocar aborto.,Agentes antineoplásicos,Agentes antineoplásicos hormonales,,exemestano
exenatida,do,,Sistema endocrino,agentes hipoglucemiantes,,exenatida
ezetimiba,B3,La hiperlipidemia fisiológica del embarazo no requiere tratamiento.,Sistema cardiovascular,Agentes hipolipidémicos,,ezetimiba
factor IX (humano),do,El uso seguro de este medicamento durante el embarazo no se ha establecido en ensayos clínicos controlados.,Sistema cardiovascular,Agentes hemostáticos,,factor IX (humano)
factor IX (r CHO),B2,,Sistema cardiovascular,Agentes hemostáticos,,factor IX (r CHO)
famciclovir,B1,,Antimicrobianos,agentes antivirales,,famciclovir
famotidina,B1,,Sistema alimentario,"Hiperacidez, reflujo, úlceras",,famotidina
fampridina,do,,Sistema nervioso central,,,fampridina
faricimab,D,"Según el mecanismo de acción de faricimab (inhibición del VEGF y la angiotensina 2), existe un riesgo potencial para la capacidad reproductiva femenina y el desarrollo embriofetal. Se ha demostrado que la inhibición del VEGF causa malformaciones, reabsorción embriofetal y disminución del peso fetal. No existen estudios específicos que analicen los efectos de la inhibición de la angiotensina 2 en el embarazo. Según información preclínica, la inhibición de la angiotensina 2 puede producir efectos comparables a los de la inhibición del VEGF. La exposición sistémica tras la administración ocular de faricimab es muy baja.",Medicamentos oftálmicos,,,faricimab
febuxostat,B1,,Sistema musculoesquelético,Agentes utilizados en la gota y la hiperuricemia,,febuxostat
felodipino,do, Los bloqueadores de los canales de calcio tienen el potencial de producir hipoxia fetal asociada con hipotensión materna.,Sistema cardiovascular,Antihipertensivos,bloqueadores de los canales de calcio,felodipino
fenfluramina,B2,No se recomienda la reducción de peso con medicamentos supresores del apetito durante el embarazo.,Metabolismo,Agentes anoréxicos y reductores de peso,,fenfluramina
fenofibrato,B3,La hiperlipidemia fisiológica del embarazo no requiere tratamiento.,Sistema cardiovascular,Agentes hipolipidémicos,,fenofibrato
fenoterol,A,,Sistema cardiovascular,estimulantes adrenérgicos,,fenoterol
fenoterol,A,,Sistema respiratorio,Agentes inhalatorios,Relajantes del broncoespasmo,fenoterol
fentanilo,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),analgésicos opioides,fentanilo
fentanilo/ropivacaína,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes no esteroides y antiinflamatorios),,fentanilo/ropivacaina
carboximaltosa férrica,B3,,Sangre y sistema hematopoyético,,,carboximaltosa ferrica
ferucarbotrán,B1,,Agentes de diagnóstico,Agentes radiográficos,,ferucarbotran
fexofenadina,B2,,Alergia y sistema inmunológico,Antihistamínicos,,fexofenadina
fezolinetante,B3,,Sistema nervioso central,,,fezolinetante
fibrina,B2,,Sistema cardiovascular,Agentes hemostáticos,,fibrina
fibrinógeno,B2,,Sistema cardiovascular,Agentes hemostáticos,,fibrinogeno
fibrinógeno / trombina,B2,,Sistema cardiovascular,Agentes hemostáticos,,fibrinogeno / trombina
fibronectina,B2,,Sistema cardiovascular,Agentes hemostáticos,,fibronectina
fidaxomicina,B1,,Antimicrobianos,Antibióticos,,fidaxomicina
filgrastim,B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,,filgrastim
finasterida,incógnita,La finasterida puede provocar anomalías en los genitales externos de un feto masculino.,Medicamentos utilizados en Dermatología,Actual,,finasterida
finasterida,incógnita,La finasterida puede provocar anomalías en los genitales externos de un feto masculino.,Sistema genitourinario,Hiperplasia de próstata,,finasterida
finerenona,D,"Se observaron efectos adversos sobre el desarrollo embriofetal, incluida teratogenicidad, con finerenona en ratas.",Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,,finerenona
fingolimod,D,Este medicamento provoca malformaciones cardiovasculares en ratas y pérdida y/o aborto post-implantación en ratas y conejos.,Alergia y sistema inmunológico,Inmunomodificadores,,fingolimod
flecainida,B3,,Sistema cardiovascular,Antiarrítmicos,,flecainida
fleroxacina,B3,,Antimicrobianos,Antibióticos,Quinolonas,fleroxacina
flucloxacilina,B1,,Antimicrobianos,Antibióticos,penicilinas,flucloxacilina
fluconazol,D,"Se debe considerar el uso de métodos anticonceptivos eficaces en mujeres en edad fértil, los cuales deben continuar durante todo el tratamiento y aproximadamente una semana (5 a 6 vidas medias) después de la última dosis. Se han notificado casos de aborto espontáneo y anomalías congénitas en lactantes cuyas madres recibieron 150 mg de fluconazol en dosis única o repetidas durante el primer trimestre. Dosis repetidas de fluconazol (400-800 mg diarios) se han asociado con un patrón constante de defectos congénitos similar al observado en estudios con animales.",Antimicrobianos,Agentes antimicóticos (ver también antimicóticos tópicos),,fluconazol
flucitosina,B3,,Antimicrobianos,Agentes antimicóticos (ver también antimicóticos tópicos),,flucitosina
fludarabina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes citotóxicos antibióticos,,fludarabina
fludrocortisona (sistémica),do,,Sistema endocrino,Corticosteroides,Sistémico,fludrocortisona (sistemica)
fludrocortisona (tópica),A,,Sistema endocrino,Corticosteroides,Actual,fludrocortisona (topica)
flumazenil,B3,," Agentes desintoxicantes, antídotos",,,flumazenil
flumetasona,A,,Sistema endocrino,Corticosteroides,Actual,flumetasona
flunisolida,B3,Los beneficios del control del asma superan cualquier potencial resultado adverso durante el embarazo.,Sistema endocrino,Corticosteroides,Inhalación/intranasal,flunisolida
flunitrazepam,do,"Las benzodiazepinas pueden causar hipotonía, depresión respiratoria e hipotermia en el recién nacido si se administran en dosis altas durante el parto. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de esta clase de fármacos.",Sistema nervioso central,Benzodiazepinas,,flunitrazepam
fluocinolona,A,,Sistema endocrino,Corticosteroides,Actual,fluocinolona
fluocortolona,A,,Sistema endocrino,Corticosteroides,Actual,fluocortolona
fluoresceína sódica (sistémica),B2,,Medicamentos oftálmicos,,,fluoresceina sodica (sistemica)
fluorometolona,B3,,Medicamentos oftálmicos,,,fluorometolona
fluorouracilo,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Antimetabolitos,,fluorouracilo
fluoxetina,do,"Los inhibidores selectivos de la recaptación de serotonina (ISRS) se han utilizado de forma limitada durante el embarazo, sin que se haya reportado un aumento de defectos congénitos. El uso de ISRS en el tercer trimestre puede provocar un síndrome de abstinencia en el recién nacido.",Sistema nervioso central,antidepresivos,Inhibidores selectivos de la recaptación de serotonina (ISRS),fluoxetina
fluoximesterona,D,Los esteroides anabólicos y otras sustancias con efectos androgénicos pueden tener un efecto virilizante en el feto femenino y deben evitarse durante el embarazo.,Sistema endocrino,Andrógenos y esteroides anabólicos,,fluoximesterona
flupentixol,do,"Cuando se administran en dosis altas al final del embarazo, compuestos relacionados han provocado trastornos neurológicos prolongados en el recién nacido.",Sistema nervioso central,fármacos antipsicóticos,,flupentixol
flufenazina,do,"Cuando se administran en dosis altas al final del embarazo, las fenotiazinas han provocado trastornos neurológicos prolongados en el recién nacido.",Sistema nervioso central,fármacos antipsicóticos,fenotiazinas,flufenazina
flurazepam,do,"Las benzodiazepinas pueden causar hipotonía, depresión respiratoria e hipotermia en el recién nacido si se administran en dosis altas durante el parto. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de esta clase de fármacos.",Sistema nervioso central,Benzodiazepinas,,flurazepam
flurbiprofeno,do,"No se ha establecido la seguridad de este producto durante el embarazo humano. Estudios reproductivos en ratas mostraron que el flurbiprofeno tuvo un efecto significativo en el parto a dosis >0,4 mg/kg/día. Además, se consideró que el flurbiprofeno era embrioletal a dosis >4,0 mg/kg/día. Debido a los efectos conocidos de los fármacos inhibidores de prostaglandinas en el sistema cardiovascular fetal de las ratas (cierre del conducto arterioso), debe evitarse el uso de colirios de flurbiprofeno durante la última etapa del embarazo. El flurbiprofeno solo debe utilizarse durante el embarazo cuando el beneficio potencial para la paciente supere el riesgo potencial para el feto.",Medicamentos oftálmicos,,,flurbiprofeno
furoato de fluticasona,B3,Los beneficios del control del asma superan cualquier potencial resultado adverso durante el embarazo.,Sistema endocrino,Corticosteroides,Inhalación/intranasal,furoato de fluticasona
furoato de fluticasona/trifenatato de vilanterol,B3,,Sistema respiratorio,Agentes inhalatorios,Aerosoles e inhalaciones preventivas,furoato de fluticasona/trifenatato de vilanterol
propionato de fluticasona,B3,Los beneficios del control del asma superan cualquier potencial resultado adverso durante el embarazo.,Sistema respiratorio,Agentes inhalatorios,Aerosoles e inhalaciones preventivas,propionato de fluticasona
propionato de fluticasona/fumarato de eformoterol,B3,,Sistema respiratorio,Agentes inhalatorios,,propionato de fluticasona/fumarato de eformoterol
propionato de fluticasona/xinafoato de salmeterol,B3,,Sistema respiratorio,Agentes inhalatorios,,propionato de fluticasona/xinafoato de salmeterol
fluvastatina,D,"El colesterol y otros productos de la biosíntesis del colesterol son componentes esenciales para el desarrollo fetal, incluyendo la síntesis de esteroides y membranas celulares. Debido a la capacidad de los inhibidores de la HMG-CoA reductasa para disminuir la síntesis de colesterol y posiblemente otros productos de la biosíntesis del colesterol, estos fármacos pueden causar daño fetal si se administran a una mujer embarazada. La hiperlipidemia fisiológica del embarazo no requiere tratamiento.",Sistema cardiovascular,Agentes hipolipidémicos,,fluvastatina
fluvoxamina,do,"Los inhibidores selectivos de la recaptación de serotonina (ISRS) se han utilizado de forma limitada durante el embarazo, sin que se haya reportado un aumento de defectos congénitos. El uso de ISRS en el tercer trimestre puede provocar un síndrome de abstinencia en el recién nacido.",Sistema nervioso central,antidepresivos,Inhibidores selectivos de la recaptación de serotonina (ISRS),fluvoxamina
ácido fólico,A,,Sangre y sistema hematopoyético,,,acido folico
ácido folínico (leucovorina),A,,Sangre y sistema hematopoyético,,,acido folinico (leucovorina)
hormona folículo estimulante (humana recombinante),B3,,Sistema endocrino,Inductores de la ovulación,Gonadotropinas,hormona foliculo estimulante (humana recombinante)
folitropina alfa,D,,Sistema endocrino,hormonas pituitarias,,folitropina alfa
folitropina beta,B2,,Sistema endocrino,hormonas pituitarias,,folitropina beta
delta de folitropina,D,,Sistema endocrino,hormonas pituitarias,,delta de folitropina
fomepizol,B2,,"Agentes desintoxicantes, antídotos",,,fomepizol
fomivirsen,B2,,Antimicrobianos,agentes antivirales,,fomivirsen
fondaparinux,do,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,,fondaparinux
formoterol,B3,,Sistema respiratorio,Agentes inhalatorios,Relajantes del broncoespasmo,formoterol
fosamprenavir,B3,,Antimicrobianos,agentes antivirales,,fosamprenavir
